year,freq, word,comp
1940,37,love,21
1950,31,love,18
1960,283,love,34
1970,527,love,37
1980,1269,love,45
1990,2115,love,54
2000,3257,love,57
2010,2134,love,49
1940,28,people,16
1950,13,people,7
1960,94,people,11
1970,191,people,13
1980,269,people,10
1990,150,people,4
2000,780,people,14
2010,600,people,14
1940,26,tears,15
1950,27,tears,15
1960,76,tears,9
1970,105,tears,7
1980,300,tears,11
1990,468,tears,12
2000,701,tears,12
2010,464,tears,11
1940,23,hometown,13
1950,35,hometown,20
1960,68,hometown,8
1970,73,hometown,5
1980,32,hometown,1
1990,16,hometown,1
2000,95,hometown,2
2010,2,hometown,1
1940,23,song,13
1950,18,song,10
1960,28,song,3
1970,40,song,3
1980,47,song,2
1990,136,song,3
2000,171,song,3
2010,225,song,5
1940,22,heart,13
1950,34,heart,19
1960,119,heart,14
1970,155,heart,11
1980,346,heart,12
1990,301,heart,8
2000,639,heart,11
2010,443,heart,10
1940,17,mind,10
1950,19,mind,11
1960,174,mind,21
1970,330,mind,23
1980,551,mind,20
1990,716,mind,18
2000,91,mind,2
2010,503,mind,12
